destination,season,activity,recommended_items,famous_places,recommended_apps,tips
new york,summer,sightseeing,"sunglasses,camera,light jacket,water bottle,hat","central park,times square,rockefeller center,statue of liberty,empire state building,broadway","citymapper,opentable,google maps","get metrocards,stay hydrated,book tickets online"
paris,spring,sightseeing,"comfortable shoes,umbrella,camera,light scarf","eiffel tower,louvre museum,notre-dame cathedral,arc de triomphe,champs-élysées","RATP,TheFork,Google Maps","learn basic french phrases,buy museum pass,watch for pickpockets"
london,summer,sightseeing,"umbrella,light layers,adapter,oyster card","buckingham palace,tower of london,british museum,big ben,london eye","Citymapper,OpenTable,Google Maps","use the tube,book theatre tickets in advance"
tokyo,spring,sightseeing,"comfortable shoes,portable wifi,pasmo card","tokyo skytree,senso-ji temple,shibuya crossing,shinjuku gyoen,meiji shrine","Japan Travel by Navitime,Google Translate,Suica","buy a rail pass,bow when greeting,carry cash"
rome,autumn,sightseeing,"walking shoes,camera,refillable water bottle","colosseum,roman forum,trevi fountain,pantheon,vatican city","Google Maps,TheFork,ATM Finder","book skip-the-line tickets,refill water at nasoni fountains"
sydney,summer,outdoors,"sunscreen,swimsuit,hat,sunglasses","sydney opera house,sydney harbour bridge,bondi beach,taronga zoo","TripView,OpenTable,Google Maps","climb the harbour bridge,use opal card for transport"
dubai,winter,sightseeing,"light layers,sunglasses,camera,modest clothing","burj khalifa,dubai mall,palm jumeirah,burj al arab","Careem,Google Maps,The Entertainer","dress modestly in public places,book desert safari"
kyoto,autumn,cultural exploration,"comfortable shoes,camera,light jacket","fushimi inari shrine,kiyomizu-dera,arashiyama bamboo grove,golden pavilion","Japan Travel by Navitime,Google Translate,Suica","try a tea ceremony,visit during cherry blossom season"
barcelona,summer,sightseeing,"sunscreen,swimsuit,comfortable shoes","sagrada familia,park güell,la rambla,casa batlló","Google Maps,MyTaxi,TheFork","beware of pickpockets,book attractions online"
cairo,winter,sightseeing,"sun hat,scarf,sunglasses,comfortable shoes","giza pyramid complex,egyptian museum,khan el-khalili,sphinx","Careem,Google Maps","hire a guide,be prepared to bargain"
rio de janeiro,summer,outdoors,"sunscreen,swimsuit,hat,light clothing","christ the redeemer,sugarloaf mountain,copacabana beach,ipanema beach","Google Maps,99Taxis","be cautious with valuables,learn some portuguese"
amsterdam,spring,sightseeing,"rain jacket,bicycle,comfortable shoes","van gogh museum,anne frank house,rijksmuseum,jordan district","9292,Google Maps,Bol.com","rent a bike,book museums well in advance"
venice,spring,sightseeing,"comfortable shoes,camera,map","st. mark's square,doge's palace,rialto bridge,grand canal","Google Maps,AVM Venezia","get lost in the alleyways,ride a gondola"
prague,spring,sightseeing,"comfortable shoes,camera,light jacket","prague castle,charles bridge,old town square,astronomical clock","Google Maps,Liftago","try trdelník,walk along the vitava river"
hong kong,autumn,sightseeing,"comfortable shoes,octopus card,light layers","victoria peak,star ferry,tian tan buddha,monkok","MTR Mobile,OpenRice,Google Maps","take the star ferry,enjoy dim sum"
istanbul,spring,sightseeing,"comfortable shoes,scarf (for mosques),camera","hagia sophia,blue mosque,topkapi palace,grand bazaar","BiTaksi,Google Maps","visit a traditional hamam,try turkish delight"
san francisco,summer,sightseeing,"layered clothing,camera,comfortable shoes","golden gate bridge,alcatraz island,fisherman's wharf,pier 39","Google Maps,Uber,OpenTable","wear layers,fog is common,book alcatraz early"
moscow,summer,sightseeing,"passport,camera,comfortable shoes","red square,kremlin,st. basil's cathedral,bolshoi theatre","Yandex.Maps,Yandex.Taxi,Google Translate","keep passport handy,book ballet tickets"
athens,spring,sightseeing,"sun hat,sunglasses,water bottle,comfortable shoes","acropolis,parthenon,acropolis museum,plaka district","Beat,Google Maps","start early to avoid heat and crowds"
dublin,summer,sightseeing,"rain jacket,comfortable shoes,warm layers","guinness storehouse,trinity college,temple bar,dublin castle","Google Maps,MyTaxi","enjoy a pint in a pub,take a literary tour"
vienna,winter,cultural exploration,"warm coat,scarf,gloves,formal attire","schoenbrunn palace,belvedere palace,vienna state opera,st. stephen's cathedral","ÖBB,Google Maps","attend an opera,visit christmas markets"
beijing,autumn,sightseeing,"face mask,comfortable shoes,water bottle","great wall of china,forbidden city,temple of heaven,summer palace","Baidu Maps,WeChat,DiDi","be prepared for crowds,download a vpn"
machu picchu,dry season (May-Sep),hiking,"hiking boots,rain poncho,water bottle,passport","machu picchu,sacred valley,huayna picchu mountain","Google Maps,WhatsApp","book permits months in advance,acclimatize to altitude"
santorini,summer,relaxation,"sunscreen,swimsuit,hat,camera","oia village,fira,red beach,ancient thera","Google Maps","watch the sunset in oia,stay in a cave hotel"
bali,summer,outdoors,"insect repellent,sunscreen,light clothing,swimsuit","tegallalang rice terrace,uluwatu temple,monkey forest,tanah lot","GoJek,Grab,Google Maps","rent a scooter,respect temple customs"
banff,summer,hiking,"hiking boots,bear spray,water bottle,layers","lake louise,banff gondola,moraine lake,icefields parkway","AllTrails,Google Maps","get a parks pass,arrive early for parking"
reykjavik,summer,adventure,"waterproof jacket,warm layers,swimsuit,camera","blue lagoon,golden circle,northern lights,seljalandsfoss waterfall","Google Maps,Appy Hour","rent a 4x4 for exploring,book lagoons in advance"
petra,spring,sightseeing,"sun hat,comfortable shoes,water bottle,headscarf","the treasury,the monastery,royal tombs,siq canyon","Google Maps","arrive at opening time to avoid crowds,hire a guide"
angkor wat,dry season (Nov-Apr),sightseeing,"sunrise start,water,light clothing,passport","angkor wat,ta prohm,angkor thom,bayon temple","Grab,Google Maps","buy a multi-day pass,hire a tuk-tuk driver"
new orleans,spring,food & music,"comfortable shoes,rain poncho,appetite","french quarter,bourbon street,preservation hall,jackson square","Google Maps,UberEats","try beignets,listen to jazz,go for mardi gras"
marrakech,spring,sightseeing,"comfortable shoes,sunglasses,bargaining skills","jemaa el-fnaa,bahia palace,majorelle garden,atlas mountains","Careem,Google Maps","be prepared to bargain in souks,stay in a riad"
grand canyon,spring,hiking,"hiking boots,hat,sunglasses,water bottle","south rim,skywalk,havasu falls,bright angel trail","AllTrails,Google Maps","reserve lodging early,start hikes before sunrise"
serengeti,dry season (Jun-Oct),safari,"binoculars,neutral-colored clothing,camera,sun hat","serengeti national park,ngorongoro crater,olduvai gorge","Google Maps,SafariLink","book a reputable tour operator,great for migration"
yellowstone,summer,hiking & wildlife,"bear spray,hiking boots,binoculars,camera","old faithful,grand prismatic spring,yellowstone lake,lamar valley","National Park Service,Google Maps","stay on boardwalks,keep distance from wildlife"
maldives,summer,relaxation,"sunscreen,swimsuit,hat,underwater camera","male atoll,banana reef,maafushi island","Google Maps","choose your resort island carefully,great for snorkeling"
queenstown,winter,adventure sports,"warm layers,gloves,go-pro camera","skyline gondola,coronet peak,shotover jet,milford sound","Google Maps,Uber","try bungy jumping,book activities in advance"
las vegas,spring,entertainment,"comfortable shoes,sunglasses,formal attire","the strip,fremont street,bellagio fountains,red rock canyon","Uber,OpenTable,Google Maps","gamble responsibly,see a show,stay hydrated"
kruger national park,dry season (May-Sep),safari,"binoculars,camera,neutral clothing,sun hat","sabie sand game reserve,blyde river canyon","Google Maps,WhatsApp","self-driving or guided tours available,stay in rest camps"
antarctica,austral summer (Nov-Mar),expedition,"waterproof layers,binoculars,camera,seasickness pills","lemair channel,deception island,paulet island","Google Maps","book through a certified operator,prepare for rough seas"
jaipur,spring,sightseeing,"sun hat,comfortable shoes,light scarf","hawa mahal,amber fort,city palace,jantar mantar","Uber,Google Maps","hire a driver for the golden triangle,shop for textiles"
seoul,autumn,sightseeing,"comfortable shoes,t-money card,portable charger","gyeongbokgung palace,n seoul tower,myeongdong,bukchon hanok village","Naver Map,KakaoMap,KakaoT","try street food,visit a jjimjilbang (sauna)"
budapest,summer,sightseeing,"swimsuit,comfortable shoes,camera","budapest parliament,chain bridge,buda castle,széchenyi thermal bath","Bolt,Google Maps","take a dip in the thermal baths,danube river cruise"
edinburgh,summer,sightseeing,"rain jacket,comfortable shoes,warm layers","edinburgh castle,royal mile,arthur's seat,holyrood palace","Google Maps,Uber","visit during fringe festival,explore the closes"
mont saint-michel,summer,sightseeing,"tide timetable,comfortable shoes,camera","abbey of mont saint-michel,ramparts,medieval village","Google Maps","check tide times before visiting,stay overnight"
fjords of norway,summer,scenic cruise,"waterproof jacket,camera,warm layers,windows","geirangerfjord,nærøyfjord,pulpit rock,flåm railway","Google Maps,Vy","take a fjord cruise,ride the flåm railway"
mughal,summer,sightseeing,"sun hat,comfortable shoes,light clothing","taj mahal,agra fort,fatehpur sikri","Uber,Google Maps","visit taj mahal at sunrise,hire a guide for history"
yosemite,summer,hiking,"hiking boots,water bottle,bear canister,camera","el capitan,half dome,yosemite falls,glacier point","National Park Service,AllTrails","reservations required for entry in peak season,book lodging early"
cinque terre,summer,hiking,"hiking shoes,swimsuit,camera,water bottle","monterosso al mare,vernazza,corniglia,manarola,riomaggiore","Google Maps","buy a cinque terre card,hike the coastal trail"
santorini,summer,relaxation,"sunscreen,swimsuit,hat,camera","oia village,fira,red beach,ancient thera","Google Maps","watch the sunset in oia,stay in a cave hotel"
barcelona,summer,sightseeing,"sunscreen,swimsuit,comfortable shoes","sagrada familia,park güell,la rambla,casa batlló","Google Maps,MyTaxi,TheFork","beware of pickpockets,book attractions online"
machu picchu,dry season (May-Sep),hiking,"hiking boots,rain poncho,water bottle,passport","machu picchu,sacred valley,huayna picchu mountain","Google Maps,WhatsApp","book permits months in advance,acclimatize to altitude"
petra,spring,sightseeing,"sun hat,comfortable shoes,water bottle,headscarf","the treasury,the monastery,royal tombs,siq canyon","Google Maps","arrive at opening time to avoid crowds,hire a guide"
angkor wat,dry season (Nov-Apr),sightseeing,"sunrise start,water,light clothing,passport","angkor wat,ta prohm,angkor thom,bayon temple","Grab,Google Maps","buy a multi-day pass,hire a tuk-tuk driver"
new orleans,spring,food & music,"comfortable shoes,rain poncho,appetite","french quarter,bourbon street,preservation hall,jackson square","Google Maps,UberEats","try beignets,listen to jazz,go for mardi gras"
marrakech,spring,sightseeing,"comfortable shoes,sunglasses,bargaining skills","jemaa el-fnaa,bahia palace,majorelle garden,atlas mountains","Careem,Google Maps","be prepared to bargain in souks,stay in a riad"
grand canyon,spring,hiking,"hiking boots,hat,sunglasses,water bottle","south rim,skywalk,havasu falls,bright angel trail","AllTrails,Google Maps","reserve lodging early,start hikes before sunrise"
serengeti,dry season (Jun-Oct),safari,"binoculars,neutral-colored clothing,camera,sun hat","serengeti national park,ngorongoro crater,olduvai gorge","Google Maps,SafariLink","book a reputable tour operator,great for migration"
yellowstone,summer,hiking & wildlife,"bear spray,hiking boots,binoculars,camera","old faithful,grand prismatic spring,yellowstone lake,lamar valley","National Park Service,Google Maps","stay on boardwalks,keep distance from wildlife"
maldives,summer,relaxation,"sunscreen,swimsuit,hat,underwater camera","male atoll,banana reef,maafushi island","Google Maps","choose your resort island carefully,great for snorkeling"
queenstown,winter,adventure sports,"warm layers,gloves,go-pro camera","skyline gondola,coronet peak,shotover jet,milford sound","Google Maps,Uber","try bungy jumping,book activities in advance"
las vegas,spring,entertainment,"comfortable shoes,sunglasses,formal attire","the strip,fremont street,bellagio fountains,red rock canyon","Uber,OpenTable,Google Maps","gamble responsibly,see a show,stay hydrated"
kruger national park,dry season (May-Sep),safari,"binoculars,camera,neutral clothing,sun hat","sabie sand game reserve,blyde river canyon","Google Maps,WhatsApp","self-driving or guided tours available,stay in rest camps"
antarctica,austral summer (Nov-Mar),expedition,"waterproof layers,binoculars,camera,seasickness pills","lemair channel,deception island,paulet island","Google Maps","book through a certified operator,prepare for rough seas"
jaipur,spring,sightseeing,"sun hat,comfortable shoes,light scarf","hawa mahal,amber fort,city palace,jantar mantar","Uber,Google Maps","hire a driver for the golden triangle,shop for textiles"
seoul,autumn,sightseeing,"comfortable shoes,t-money card,portable charger","gyeongbokgung palace,n seoul tower,myeongdong,bukchon hanok village","Naver Map,KakaoMap,KakaoT","try street food,visit a jjimjilbang (sauna)"
budapest,summer,sightseeing,"swimsuit,comfortable shoes,camera","budapest parliament,chain bridge,buda castle,széchenyi thermal bath","Bolt,Google Maps","take a dip in the thermal baths,danube river cruise"
edinburgh,summer,sightseeing,"rain jacket,comfortable shoes,warm layers","edinburgh castle,royal mile,arthur's seat,holyrood palace","Google Maps,Uber","visit during fringe festival,explore the closes"
mont saint-michel,summer,sightseeing,"tide timetable,comfortable shoes,camera","abbey of mont saint-michel,ramparts,medieval village","Google Maps","check tide times before visiting,stay overnight"
fjords of norway,summer,scenic cruise,"waterproof jacket,camera,warm layers,windows","geirangerfjord,nærøyfjord,pulpit rock,flåm railway","Google Maps,Vy","take a fjord cruise,ride the flåm railway"
mughal,summer,sightseeing,"sun hat,comfortable shoes,light clothing","taj mahal,agra fort,fatehpur sikri","Uber,Google Maps","visit taj mahal at sunrise,hire a guide for history"
yosemite,summer,hiking,"hiking boots,water bottle,bear canister,camera","el capitan,half dome,yosemite falls,glacier point","National Park Service,AllTrails","reservations required for entry in peak season,book lodging early"
cinque terre,summer,hiking,"hiking shoes,swimsuit,camera,water bottle","monterosso al mare,vernazza,corniglia,manarola,riomaggiore","Google Maps","buy a cinque terre card,hike the coastal trail"


bangkok,summer,cultural tour,"light clothes,sunscreen,hat,water bottle,camera","grand palace,wat pho,chatuchak market,mbk center,asiatique riverfront","Google Maps,Grab,TripAdvisor","dress modestly,stay hydrated,use public transport"
lisbon,spring,sightseeing,"comfortable shoes,umbrella,sunscreen,camera","bejijn tower,alfama,jeronimos monastery,rossio square,25 april bridge","Carris,Google Maps,Visit Lisboa","buy public transport pass,watch for steep streets,try local food"
prague,autumn,sightseeing,"comfortable shoes,jacket,camera,water bottle","charles bridge,prague castle,old town square,astronomical clock,john lennon wall","PID App,Google Maps,GetYourGuide","wear layers,book tours in advance,carry water"
kyoto,autumn,cultural tour,"comfortable shoes,jacket,camera,umbrella","fushimi inari shrine,kinkaku-ji,kiyomizu-dera,gion district,arashiyama bamboo grove","Google Maps,Hyperdia,Japan Official Travel App","respect customs,carry cash,learn basic japanese"
venice,spring,sightseeing,"comfortable shoes,umbrella,camera,water bottle","st mark's basilica,grand canal,piazza san marco,doges palace,rialto bridge","Venice Connected,Google Maps,Actv Venezia","wear comfortable shoes,avoid flooding times,book tickets early"
hawaii,summer,beach and hiking,"swimsuit,sunscreen,hiking boots,hat,camera","waikiki beach,diamond head,volcanoes national park,haleakala,nāpali coast","Google Maps,AllTrails,TripAdvisor","apply sunscreen,stay hydrated,start hikes early"
amsterdam,summer,biking and sightseeing,"bike helmet,water bottle,comfortable clothes,camera","vondelpark,rijksmuseum,anne frank house,jordaan,canal belt","9292,Google Maps,Fiets","wear helmet,lock bike securely,book museums early"
dubai,summer,shopping and sightseeing,"sunglasses,sunscreen,comfortable shoes,camera","burj khalifa,dubai mall,palm jumeirah,dubai marina,dubai aquarium","Careem,Google Maps,Entertainer","stay hydrated,carry water,book desert safari"
cape town,summer,hiking and beach,"hiking boots,sunscreen,water bottle,swimsuit,camera","table mountain,clifton beach,robin island,cape point,kirstenbosch","Google Maps,AllTrails,Cape Town Tourism","start early,carry water,apply sunscreen"
new york,autumn,sightseeing,"jacket,camera,umbrella,comfortable shoes,water bottle","central park,times square,rockefeller center,soho,broadway","citymapper,Google Maps,OpenTable","layer clothing,book tickets in advance,carry water"
paris,summer,sightseeing,"sunglasses,hat,water bottle,camera,light clothes","eiffel tower,louvre,montmartre,notre-dame,seine river","RATP,TheFork,Citymapper","stay hydrated,buy tickets early,avoid peak hours"
tokyo,winter,cultural tour,"warm clothes,gloves,hat,camera,comfortable shoes","meiji shrine,senso-ji,shinjuku,ginza,akihabara","Google Maps,Hyperdia,Tabimori","dress warmly,use public transport,carry cash"
sydney,autumn,sightseeing,"jacket,camera,comfortable shoes,water bottle","opera house,bondi beach,darling harbour,the rocks,taronga zoo","Google Maps,TripView,OpenTable","layer clothes,book tours early,carry water"
rome,summer,sightseeing,"sunscreen,hat,comfortable shoes,camera,water bottle","colosseum,vatican,trevi fountain,pantheon,spanish steps","Rome2rio,Google Maps,TheFork","apply sunscreen,drink water,book tours online"
barcelona,autumn,sightseeing,"jacket,comfortable shoes,umbrella,camera,water bottle","sagrada familia,park güell,la rambla,casa batlló,barceloneta beach","TMB App,Google Maps,ElTenedor","carry water,wear layers,buy tickets in advance"
cape town,winter,hiking and sightseeing,"warm jacket,hiking boots,camera,water bottle,hat","table mountain,kirstenbosch gardens,robben island,cape point,bo-kaap","AllTrails,Google Maps,Cape Town Tourism","dress warmly,start early,carry water"
amsterdam,autumn,biking and sightseeing,"bike helmet,jacket,comfortable shoes,camera","anne frank house,rijksmuseum,vondelpark,canal belt,jordaan district","9292,Google Maps,Fiets","wear layers,lock bike securely,book tickets"
dubai,spring,sightseeing,"light jacket,sunscreen,camera,comfortable shoes","burj khalifa,dubai mall,palm jumeirah,dubai fountain,jumeirah mosque","Careem,Google Maps,The Entertainer","dress modestly,stay hydrated,book tours"
bali,autumn,beach and yoga,"yoga mat,light jacket,sunscreen,camera,comfortable clothes","kuta beach,ubud monkey forest,tanah lot temple,canggu beach,semiyak","Google Maps,Traveloka,Airbnb","respect customs,carry sunscreen,stay hydrated"
london,autumn,sightseeing,"jacket,umbrella,camera,comfortable shoes","big ben,london eye,buckingham palace,tower bridge,hyde park","Citymapper,Google Maps,OpenTable","layer clothing,watch for traffic,buy oyster card"
vancouver,autumn,hiking and sightseeing,"hiking boots,jacket,camera,water bottle,sunglasses","stanley park,grouse mountain,capilano suspension bridge,granville island,queen elizabeth park","Google Maps,AllTrails,TripAdvisor","carry water,start early,check weather"
rio de janeiro,winter,beach and sightseeing,"warm clothes,sunscreen,camera,water bottle,hat","copacabana beach,christ the redeemer,pão de açúcar,ipr janeiro,morada beach","Google Maps,Rio Guide,Cultura Rio","dress warmly,apply sunscreen,stay hydrated"
cairo,summer,cultural tour,"light clothes,sunscreen,hat,camera,water bottle","pyramids of giza,egyptian museum,khan el khalili,cairo tower,al-azhar park","Google Maps,Cairo Metro App,TripAdvisor","avoid midday heat,carry water,hire guide"
machu picchu,autumn,hiking and sightseeing,"hiking boots,hat,rain jacket,camera,water bottle","machu picchu,cusco,inca trail,guasca,lake titicaca","Google Maps,AllTrails,TripAdvisor","book permits early,carry water,acclimate altitude"
berlin,summer,cultural tour,"comfortable shoes,sunscreen,jacket,camera,water bottle","brandenburg gate,museum island,berlin wall,checkpoint charlie,reichstag building","BVG App,Google Maps,GetYourGuide","wear sun protection,use public transport,buy day pass"
bangkok,autumn,cultural tour,"light jacket,umbrella,water bottle,camera,sunscreen","grand palace,wat pho,chatuchak market,mbk center,asiatique riverfront","Grab,Google Maps,TripAdvisor","dress modestly,stay hydrated,use public transport"
lisbon,summer,sightseeing,"sunscreen,comfortable shoes,water bottle,camera,hat","bejijn tower,alfama,jeronimos monastery,rossio square,25 april bridge","Carris,Google Maps,Visit Lisboa","stay hydrated,buy transport pass,try local food"
prague,summer,sightseeing,"comfortable shoes,sunscreen,camera,water bottle,hat","charles bridge,prague castle,old town square,astronomical clock,john lennon wall","PID App,Google Maps,GetYourGuide","wear sun protection,buy tickets early,carry water"
kyoto,summer,cultural tour,"comfortable shoes,sunscreen,jacket,camera,umbrella","fushimi inari shrine,kinkaku-ji,kiyomizu-dera,gion district,arashiyama bamboo grove","Google Maps,Japan Rail,Japan Official Travel App","carry cash,respect customs,stay hydrated"
venice,summer,sightseeing,"comfortable shoes,sunscreen,hat,camera,umbrella","st mark's basilica,grand canal,piazza san marco,doges palace,rialto bridge","Venice Connected,Google Maps,Actv Venezia","stay hydrated,book tickets early,wear comfortable shoes"
hawaii,autumn,beach and hiking,"swimsuit,sunscreen,jacket,hat,camera","waikiki beach,diamond head,volcanoes national park,haleakala,nāpali coast","Google Maps,AllTrails,TripAdvisor","apply sunscreen,carry water,start hikes early"
amsterdam,winter,biking and sightseeing,"warm jacket,gloves,bike helmet,comfortable shoes,camera","vondelpark,rijksmuseum,anne frank house,jordaan,canal belt","9292,Google Maps,Fiets","dress warmly,lock bike securely,book museums early"
dubai,autumn,sightseeing,"jacket,sunglasses,camera,comfortable shoes","burj khalifa,dubai mall,palm jumeirah,dubai marina,dubai aquarium","Careem,Google Maps,Entertainer","dress warmly,carry water,book tours"
cape town,spring,hiking and beach,"jacket,hiking boots,camera,water bottle,hat","table mountain,clifton beach,robin island,cape point,kirstenbosch","Google Maps,AllTrails,Cape Town Tourism","start early,carry water,wear jacket"
new york,winter,sightseeing,"warm coat,hat,gloves,camera,umbrella","central park,times square,rockefeller center,statue of liberty,broadway","citymapper,Google Maps,OpenTable","dress warmly,book tickets online,carry umbrella"
paris,summer,sightseeing,"sunglasses,hat,water bottle,camera,light clothes","eiffel tower,louvre,montmartre,notre-dame,seine river","RATP,TheFork,Citymapper","stay hydrated,buy tickets early,avoid peak hours"
tokyo,spring,cultural tour,"comfortable shoes,umbrella,camera,portable charger","shibuya crossing,senso-ji temple,meiji shrine,tsukiji market,shinjuku gyoen","Google Maps,Hyperdia,Tabimori","carry cash,learn basic japanese,use public transport"
sydney,winter,sightseeing,"warm coat,camera,comfortable shoes,water bottle","opera house,bondi beach,darling harbour,the rocks,taronga zoo","Google Maps,TripView,OpenTable","dress warmly,carry water,book tours"
rome,autumn,sightseeing,"jacket,camera,comfortable shoes,umbrella,water bottle","colosseum,vatican,trevi fountain,pantheon,spanish steps","Rome2rio,Google Maps,TheFork","wear layers,buy tickets early,carry water"
barcelona,winter,sightseeing,"warm clothes,comfortable shoes,umbrella,camera,water bottle","sagrada familia,park güell,la rambla,casa batlló,barceloneta beach","TMB App,Google Maps,ElTenedor","dress warmly,carry umbrella,buy tickets early"
cape town,autumn,hiking and sightseeing,"jacket,hiking boots,camera,water bottle,hat","table mountain,kirstenbosch gardens,robben island,cape point,bo-kaap","AllTrails,Google Maps,Cape Town Tourism","start early,carry water,wear layers"
amsterdam,winter,biking and sightseeing,"warm jacket,jacket,comfortable shoes,camera","anne frank house,rijksmuseum,vondelpark,canal belt,jordaan district","9292,Google Maps,Fiets","dress warmly,lock bike securely,book museums"
dubai,summer,sightseeing,"sunscreen,hat,comfortable shoes,camera","burj khalifa,dubai mall,palm jumeirah,dubai fountain,jumeirah mosque","Careem,Google Maps,The Entertainer","stay hydrated,apply sunscreen,book tours"
bali,summer,beach and yoga,"swimsuit,sunscreen,yoga mat,light clothes,sunglasses","kuta beach,ubud monkey forest,tanah lot temple,canggu beach,semiyak","Google Maps,Traveloka,Airbnb","respect local customs,apply sunscreen,carry water"
london,winter,sightseeing,"warm coat,umbrella,camera,comfortable shoes","big ben,london eye,buckingham palace,tower bridge,hyde park","Citymapper,Google Maps,OpenTable","dress warmly,buy oyster card,watch traffic"
vancouver,winter,hiking and sightseeing,"warm jacket,hiking boots,camera,water bottle,sunglasses","stanley park,grouse mountain,capilano suspension bridge,granville island,queen elizabeth park","Google Maps,AllTrails,TripAdvisor","dress warmly,start early,carry water"
rio de janeiro,autumn,beach and sightseeing,"jacket,sunscreen,camera,water bottle,hat","copacabana beach,christ the redeemer,pão de açúcar,ipr janeiro,morada beach","Google Maps,Rio Guide,Cultura Rio","wear layers,apply sunscreen,stay hydrated"
cairo,winter,cultural tour,"warm clothes,jacket,hat,camera,water bottle","pyramids of giza,egyptian museum,khan el khalili,cairo tower,al-azhar park","Google Maps,Cairo Metro App,TripAdvisor","dress warmly,carry water,hire guide"
machu picchu,summer,hiking and sightseeing,"hiking boots,hat,camera,water bottle,sunscreen","machu picchu,cusco,inca trail,guasca,lake titicaca","Google Maps,AllTrails,TripAdvisor","book early,carry water,apply sunscreen"
berlin,winter,cultural tour,"warm jacket,gloves,camera,water bottle,comfortable shoes","brandenburg gate,museum island,berlin wall,checkpoint charlie,reichstag building","BVG App,Google Maps,GetYourGuide","dress warmly,use public transport,buy day pass"
bangkok,summer,cultural tour,"light clothes,sunscreen,hat,water bottle,camera","grand palace,wat pho,chatuchak market,mbk center,asiatique riverfront","Google Maps,Grab,TripAdvisor","stay hydrated,dress lightly,use public transport"
lisbon,autumn,sightseeing,"jacket,comfortable shoes,water bottle,camera,umbrella","bejijn tower,alfama,jeronimos monastery,rossio square,25 april bridge","Carris,Google Maps,Visit Lisboa","dress warmly,carry water,buy transport pass"
prague,winter,sightseeing,"warm clothes,jacket,camera,water bottle,gloves","charles bridge,prague castle,old town square,astronomical clock,john lennon wall","PID App,Google Maps,GetYourGuide","dress warmly,buy tickets early,carry water"
kyoto,spring,cultural tour,"comfortable shoes,umbrella,camera,light jacket","fushimi inari shrine,kinkaku-ji,kiyomizu-dera,gion district,arashiyama bamboo grove","Google Maps,Hyperdia,Japan Official Travel App","carry cash,respect customs,buy tickets early"
venice,autumn,sightseeing,"comfortable shoes,jacket,camera,umbrella,water bottle","st mark's basilica,grand canal,piazza san marco,doges palace,rialto bridge","Venice Connected,Google Maps,Actv Venezia","wear layers,buy tickets early,carry water"
hawaii,winter,beach and hiking,"warm clothes,jacket,sunscreen,hat,camera","waikiki beach,diamond head,volcanoes national park,haleakala,nāpali coast","Google Maps,AllTrails,TripAdvisor","dress warmly,apply sunscreen,carry water"
amsterdam,spring,biking and sightseeing,"comfortable shoes,umbrella,bike helmet,camera","vondelpark,rijksmuseum,anne frank house,jordaan,canal belt","9292,Google Maps,Fiets","wear comfortable shoes,lock bike securely,book in advance"
dubai,autumn,sightseeing,"jacket,sunglasses,camera,comfortable shoes","burj khalifa,dubai mall,palm jumeirah,dubai marina,dubai aquarium","Careem,Google Maps,Entertainer","dress warmly,carry water,book tours"
cape town,summer,hiking and beach,"hiking boots,sunscreen,water bottle,swimsuit,camera","table mountain,clifton beach,robin island,cape point,kirstenbosch","Google Maps,AllTrails,Cape Town Tourism","start early,carry water,apply sunscreen"
new york,spring,sightseeing,"comfortable shoes,umbrella,camera,light scarf","central park,times square,rockefeller center,statue of liberty,empire state building,broadway","citymapper,opentable,google maps","get metrocards,book tickets online,watch for pickpockets"
paris,summer,sightseeing,"sunglasses,hat,water bottle,camera,light clothes","eiffel tower,louvre,montmartre,notre-dame,seine river","RATP,TheFork,Citymapper","stay hydrated,buy tickets early,avoid peak hours"
